symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,23/06/2022 16:05,136.29,136.59,136.59,136.28,32479,,,,,,
AAPL,23/06/2022 16:10,136.59,136.71,136.72,136.47,87523,,,,,,
AAPL,23/06/2022 16:15,136.72,136.71,136.78,136.66,48601,,,,,,
AAPL,23/06/2022 16:20,136.72,136.8,136.8,136.71,41782,,,,,,
AAPL,23/06/2022 16:25,136.79,136.84,136.98,136.661,66239,,,,,,
AAPL,23/06/2022 16:30,136.81,136.58,137.45,136.29,2828227,,,,,,
AAPL,23/06/2022 16:35,136.59,136.05,136.78,135.941,1598673,,,,,,
AAPL,23/06/2022 16:40,136.01,136.129,136.7,135.972,1727230,,,,,,
AAPL,23/06/2022 16:45,136.23,136.16,136.41,135.65,1711938,,,,,,
AAPL,23/06/2022 16:50,136.12,135.955,136.23,135.63,1608886,,,,,,
AAPL,23/06/2022 16:55,135.93,136.592,136.79,135.82,1397874,,,,,,
AAPL,23/06/2022 17:00,136.63,137.01,137.17,136.58,1227040,,,,,,
AAPL,23/06/2022 17:05,136.98,136.862,137.29,136.745,1155030,,,,,,
AAPL,23/06/2022 17:10,136.88,136.68,137.06,136.43,1208964,,,,,,
AAPL,23/06/2022 17:15,136.62,136.945,137.056,136.53,801353,,,,,,
AAPL,23/06/2022 17:20,136.95,136.97,137.3,136.89,949590,,,,,,
AAPL,23/06/2022 17:25,136.98,136.65,137.057,136.57,871922,,,,,,
AAPL,23/06/2022 17:30,136.69,136.749,137.07,136.61,1010845,,,,,,
AAPL,23/06/2022 17:35,136.72,137.085,137.1,136.505,845502,,,,,,
AAPL,23/06/2022 17:40,137.084,137.524,137.68,137.084,1630781,,,,,,
AAPL,23/06/2022 17:45,137.52,137.47,137.735,137.39,846982,,,,,,
AAPL,23/06/2022 17:50,137.46,137.47,137.675,137.265,883186,,,,,,
AAPL,23/06/2022 17:55,137.46,137.68,137.77,137.42,791910,,,,,,
AAPL,23/06/2022 18:00,137.71,137.61,137.74,137.45,806030,,,,,,
AAPL,23/06/2022 18:05,137.57,137.67,137.67,137.41,593806,,,,,,
AAPL,23/06/2022 18:10,137.669,138.16,138.24,137.57,1214255,,,,,,
AAPL,23/06/2022 18:15,138.11,138.16,138.19,137.99,809549,,,,,,
